"Operater","srednje_vreme_na_projektima_u_kojima_je_ucestvovao"
"1ONasxRpOG","0.004768495173757176"
"3WGv41YZHO","0.000466252027877012"
"3ql1T6Bhar","0.00038336463868418754"
"4LgicHJGyD","0.008761093928987123"
"9KQW28GALF","0.01605651213127715"
"9bq0uIb5Fh","0.006605389465122704"
"APnaTJhhYt","0.0009333013159401375"
"EZwHWzt3gT","0.009006389149105955"
"FcyNpCCzIV","0.00039590272846415445"
"HozmURAH2S","0.009205765520353024"
"IrjnaW0MQ1","0.009128547986777313"
"MGY8AoS7mw","0.007478623721100409"
"OP2lSJx5xw","0.006354272402964302"
"OkZUjse4sS","0.01351829777854162"
"OzHgRSvdN5","0.014435724814098591"
"QJBObJ0uQ2","0.010741400887426816"
"SCuob85her","0.005231354530977802"
"SCyIhRheFc","0.015048721301111017"
"TFRf71vt9B","0.009758413896292058"
"Ukz6FmbY7b","0.0031106704711473775"
"WxFQdxxRg8","0.009117120197571217"
"XH9hDFiMfC","0.006888514400988935"
"ZgiFwFURvZ","0.01114470474391005"
"bKKy3cqEhu","0.00004567183293579917"
"bKVcU0Dg6J","0.018468696854453532"
"c2IiL901cb","0.0017695909361953677"
"cCWb8BDoGc","0.00691209304872017"
"d3g8920pzD","0.01766738070966891"
"fhLkb9fJpS","0.008645568360688288"
"g3WKpayJfI","0.0008474130805492888"
"hfviCwEpH6","0.014843479293307012"
"jU4oFWoVtv","0.00954358787150107"
"m9rfctjNGR","0.007780564381948564"
"mQJzmFcAP7","0.01594989618475284"
"mwMA8zHnCv","0.00138162194192376"
"oce0ogRYlB","0.0008366045184564961"
"vMR5mpAkZD","0.005289946498540154"
