"Operater","srednje_vreme_na_projektima_u_kojima_je_ucestvovao"
"1E3uPTShAK","0.014389287328694756"
"2rWlUSiOly","0.01176330284175274"
"2vmegDpwR0","0.013125298358925824"
"4LgicHJGyD","0.008761093928987123"
"5D8ktsKwkm","0.04084087477127111"
"5ralmProvX","0.009830520296211965"
"6cSASzlvvZ","0.007815585600486041"
"78OGnfMmON","0.005112088040274101"
"9KQW28GALF","0.01605651213127715"
"9bq0uIb5Fh","0.010069103274218809"
"AGi1tYcTg5","0.015734297589053217"
"APnaTJhhYt","0.0009333013159401375"
"AlsRS93upV","0.017284131634381424"
"CXGsYHTki5","0.01304978607095952"
"DBEZGqhSzH","0.01362176152951088"
"E7HJ9fzE59","0.016538668696251722"
"EI5nOV3xaS","0.01350370174845736"
"EZwHWzt3gT","0.019724854642595557"
"FgpJTUQD3n","0.0140423621412504"
"FsQyGX2H4m","0.008569168647681449"
"IrjnaW0MQ1","0.008499033699687897"
"LdrWrHLVLD","0.006802716603291186"
"MGY8AoS7mw","0.008569168647681449"
"OP2lSJx5xw","0.015734297589053217"
"OkZUjse4sS","0.010366366370874486"
"OzHgRSvdN5","0.014435724814098591"
"P8g2dRwc5P","0.016542229900064605"
"PASrAQXniS","0.012274715702967228"
"PbDGz6Qb4f","0.0068636238154166"
"QElAoxrgPN","0.009630025468721602"
"QJBObJ0uQ2","0.010741400887426816"
"R6BNaAgzoh","0.015747751974000683"
"SCyIhRheFc","0.015048721301111017"
"TBBR6mXu4L","0.01425446399244212"
"TFRf71vt9B","0.006413414844347844"
"VzcyfGPlGM","0.010741400887426816"
"WxFQdxxRg8","0.022535280701814153"
"XEOG1OJgPP","0.013450031652754602"
"XH9hDFiMfC","0.006888514400988935"
"XNiEBqSzPH","0.008579881797593787"
"YiWzJQFpuJ","0.010631193203291589"
"atD2b5sbeH","0.0073945507683899365"
"bzl9GhFV4i","0.010769591937510996"
"c9eEm6WwGx","0.02792599594568527"
"cCWb8BDoGc","0.00691209304872017"
"cT5uUtDgMF","0.008108942597108069"
"d3g8920pzD","0.01766738070966891"
"fhLkb9fJpS","0.013262894910327682"
"g3WKpayJfI","0.0011778427738008222"
"gnB1hvXXV1","0.012267465821329943"
"hfviCwEpH6","0.008883256702426455"
"hl3iMNiVWE","0.006352162637931629"
"i9JLeHpOZy","0.007988982827780397"
"iQlWCCokSE","0.011823820504043825"
"jCCJbSzOvF","0.004564613707169836"
"jU4oFWoVtv","0.02004268363256025"
"ldxhmvk7oZ","0.01653897607441439"
"loO0gOUSOP","0.0004697806067889092"
"m9rfctjNGR","0.007780564381948564"
"mQJzmFcAP7","0.01594989618475284"
"met3OfY8Cs","0.01419151804636653"
"miNAe91tcO","0.03256359648113023"
"mwMA8zHnCv","0.00138162194192376"
"nlKGPsVh8E","0.0077026210631901335"
"rTHP2F3fHt","0.01010346836783847"
"s5u7HejsRf","0.017893195226021355"
"tPNDloTTik","0.008269280508880214"
"us8TiZ8ygP","0.008894192141059739"
"vMR5mpAkZD","0.003485974821827074"
"verTI63bp5","0.00898126616728397"
"xHRD97oCcg","0.007408765473652553"
