"project id","Task_Name","work_time_by_project_size","broj operatera"
"Xo9Cmm38zb","Basement","0","1"
"GOWpomgZRl","First Floor","0.00006325120252164191","1"
"F4R9IVDLuv","First Floor","0.00016155730853054857","1"
"df3blK7xCK","First Floor","0.0002592599093100755","1"
"fTIBWOjS72","First Floor","0.0005720233871891166","1"
"gBC76gPy7m","Basement","0.0007125348109669476","1"
"Bgb3ajTUIU","Basement","0.0009876623869392955","2"
"tdNQLbe1QH","Basement","0.001400192800629905","1"
"kbG28DWnEl","Basement","0.0016279005298410554","1"
"WOg3c6F2qb","Second Floor","0.0016421106887160263","1"
"U3kOUVhX4u","Second Floor","0.0018496015087380493","1"
"QAyf5DdeQx","First Floor","0.001898468781193542","1"
"IFACNNQMQ1","Basement","0.0020687306205935253","1"
"Tr02JwZjhy","Basement","0.00206951922756031","2"
"v5LZ5huEJh","Basement","0.002090396291047114","1"
"rlnnUh0s4B","Second Floor","0.0022790393615422055","2"
"DHXMANe4YC","Basement","0.0023351858780677123","2"
"Tr02JwZjhy","Second Floor","0.0024575540827278686","1"
"GQ6XfzyoVV","First Floor","0.002457807242064125","2"
"8KTWHJ2fal","Second Floor","0.0025472055103840786","1"
"Wt3qHm77HF","First Floor","0.002626374936837116","1"
"hS1Alp29rA","Second Floor","0.002699848793811974","2"
"gBC76gPy7m","Second Floor","0.0028501392438677903","1"
"peBlph5jGD","Second Floor","0.002869610736509591","2"
"tdNQLbe1QH","Second Floor","0.002883103261759068","1"
"JNVYnaVRsp","First Floor","0.0030165701437363805","1"
"rMjbwe6TAt","First Floor","0.0031350961218943882","1"
"df3blK7xCK","Second Floor","0.003333341691129542","1"
"mEGSpytwgC","First Floor","0.0033941712571481696","3"
"DHXMANe4YC","Second Floor","0.003419379321456293","3"
"mEGSpytwgC","Second Floor","0.003521056163957447","1"
"BHKa9Vb55H","Basement","0.0036640858551873073","1"
"bvdd8e6v4G","Second Floor","0.0037499372623853336","1"
"KKryhhE2gy","First Floor","0.0038743467430665847","1"
"KKryhhE2gy","Second Floor","0.0038743467430665847","1"
"Zrujj6xMaq","Second Floor","0.0038760926539327875","1"
"IFACNNQMQ1","First Floor","0.004059395934749559","1"
"df3blK7xCK","Basement","0.004148158548961208","2"
"Piv2BAVBjb","Basement","0.0041504602391666135","1"
"UEBl7EdDZ9","Second Floor","0.004232126764445415","1"
"GOWpomgZRl","Second Floor","0.004269456170210829","2"
"8oHVF7h31k","Second Floor","0.004324993476758925","2"
"aX6GAcHASd","Second Floor","0.0043692698250387425","1"
"FWw3BWp2XD","Second Floor","0.004481149519335815","1"
"dSxP3wkcnC","First Floor","0.004883751947322449","1"
"DNecVzJYHg","First Floor","0.004980492188868375","4"
"bvdd8e6v4G","First Floor","0.005096068587344171","1"
"rlnnUh0s4B","First Floor","0.0051100335684579135","2"
"kbG28DWnEl","Second Floor","0.0052188575809610305","1"
"kbG28DWnEl","First Floor","0.005554013572398895","1"
"TGcsI3ITMY","Second Floor","0.0057490408270342444","1"
"DHXMANe4YC","Third Floor","0.006171562677750382","2"
"qhSxF8W44i","First Floor","0.0065171163030790175","1"
"3sPKDEZOf9","First Floor","0.0065267129666422025","2"
"yRnwMray1A","Basement","0.006589706053979345","1"
"i4ElfNu4I4","First Floor","0.00667933085579749","2"
"BHKa9Vb55H","First Floor","0.0069345095937015985","1"
"HOmh8xguwZ","Second Floor","0.007322332396013685","1"
"aX6GAcHASd","First Floor","0.007667640183156225","2"
"347kO8vj7X","Second Floor","0.008167080204867987","1"
"rMjbwe6TAt","Second Floor","0.008681804645245999","1"
"kL2NhZZs10","Second Floor","0.00921320625132171","3"
"v5LZ5huEJh","First Floor","0.01031711717839382","2"
"TGcsI3ITMY","Basement","0.012875456018878777","1"
"DHXMANe4YC","First Floor","0.013204920143835279","3"
