tasks__operator,Task_Name,work_time,broj_put_undefined
FcyNpCCzIV,Undefined Task,0.000161042,2
APnaTJhhYt,Undefined Task,0.000201098,1
HT6HMDaow0,Undefined Task,0.000823682,1
vMR5mpAkZD,Undefined Task,0.001351705,1
cCWb8BDoGc,Undefined Task,0.001358638,2
E3HBsc92DA,Undefined Task,0.001400963,1
m9rfctjNGR,Undefined Task,0.002192893,2
mwMA8zHnCv,Undefined Task,0.002622918,2
75vfNc1Wze,Undefined Task,0.003754931,1
OkZUjse4sS,Undefined Task,0.005334077,1
QJBObJ0uQ2,Undefined Task,0.006170693,2
d3g8920pzD,Undefined Task,0.011100413,2
4LgicHJGyD,Undefined Task,0.012688821,4
