project id,Task_Name,work_time by project size,broj operatera
347kO8vj7X,Ground Floor,0.002908823,1
347kO8vj7X,Second Floor,0.00816708,1
3axCOOrlSE,Ground Floor,0.022994442,2
3sPKDEZOf9,First Floor,0.006526713,2
3sPKDEZOf9,Ground Floor,0.007994258,2
47FDVmmNiI,Ground Floor,0.002057023,1
4PKCUOIPzN,Ground Floor,0.009404162,1
4c00HjiYsR,Ground Floor,0.005057416,1
5mixF1JgVb,Ground Floor,0.005396147,3
5viTeO254r,Ground Floor,0.003559049,1
6YphpRxvE3,Ground Floor,0.00771231,2
8JJFwXoLpL,Ground Floor,0.006173199,1
8KTWHJ2fal,Ground Floor,0.002856509,1
8KTWHJ2fal,Second Floor,0.002547206,1
8oHVF7h31k,Ground Floor,0.002906963,1
8oHVF7h31k,Second Floor,0.004324993,2
90KIwNKUvv,Ground Floor,0.004952481,1
9L2oPqIEod,Ground Floor,0.005428335,1
9sKFu8BKHj,Ground Floor,0.027030243,4
A0jMyT0kkH,Ground Floor,0.021457371,3
A4aN8DGUfo,Ground Floor,0.003536541,1
B2WLtRUAOU,Ground Floor,0.009342467,2
BHKa9Vb55H,Basement,0.003664086,1
BHKa9Vb55H,First Floor,0.00693451,1
BHenA5dW8D,Ground Floor,0.010725269,2
BS4BzvMClR,Ground Floor,0.003035963,1
Bgb3ajTUIU,Basement,0.000987662,2
Bgb3ajTUIU,Ground Floor,0.010911318,1
CZYx6FxilE,Ground Floor,0.02030794,1
DHXMANe4YC,Basement,0.002335186,2
DHXMANe4YC,First Floor,0.01320492,3
DHXMANe4YC,Ground Floor,0.003697378,2
DHXMANe4YC,Second Floor,0.003419379,3
DHXMANe4YC,Third Floor,0.006171563,2
DNecVzJYHg,First Floor,0.004980492,4
DNecVzJYHg,Ground Floor,0.00899462,3
F4R9IVDLuv,First Floor,0.000161557,1
FWw3BWp2XD,Ground Floor,0.002787812,1
FWw3BWp2XD,Second Floor,0.00448115,1
GOWpomgZRl,First Floor,6.33E-05,1
GOWpomgZRl,Ground Floor,0.008254282,2
GOWpomgZRl,Second Floor,0.004269456,2
GQ6XfzyoVV,First Floor,0.002457807,2
GQ6XfzyoVV,Ground Floor,0.007870835,3
HOmh8xguwZ,Ground Floor,0.007104406,1
HOmh8xguwZ,Second Floor,0.007322332,1
I1WKiHb3sv,Ground Floor,0.006673286,1
IFACNNQMQ1,Basement,0.002068731,1
IFACNNQMQ1,First Floor,0.004059396,1
IFACNNQMQ1,Ground Floor,0.005074245,1
JNVYnaVRsp,First Floor,0.00301657,1
JNVYnaVRsp,Ground Floor,0.010068822,1
KKryhhE2gy,First Floor,0.003874347,1
KKryhhE2gy,Second Floor,0.003874347,1
KaQvuJKE7J,Ground Floor,0.00857656,1
LGB7smMulx,Ground Floor,0.014018019,1
N9fJdBUfyb,Ground Floor,0.012065888,2
ND613TCbyn,Ground Floor,0.008033875,1
OcoWwsm54i,Ground Floor,0.008144015,1
Piv2BAVBjb,Basement,0.00415046,1
PpgyK99KCp,Ground Floor,0.000478499,1
QAyf5DdeQx,First Floor,0.001898469,1
QAyf5DdeQx,Ground Floor,0.009513438,2
Rq1GYMOulj,Ground Floor,0.004796035,2
SaYe2jfvm1,Ground Floor,0.007788399,1
TGcsI3ITMY,Basement,0.012875456,1
TGcsI3ITMY,Ground Floor,0.011677739,1
TGcsI3ITMY,Second Floor,0.005749041,1
Tr02JwZjhy,Basement,0.002069519,2
Tr02JwZjhy,Ground Floor,0.003621659,2
Tr02JwZjhy,Second Floor,0.002457554,1
